state,x,y
Alabama,123,-87
Alaska,-214,-170
Arizona,-220,-40
Arkansas,40,-53
California,-317,13
Colorado,-132,20
Connecticut,289,85
Delaware,272,42
Florida,215,-145
Georgia,172,-85
Hawaii,-327,-143
Idaho,-226,115
Illinois,80,39
Indiana,120,39
Iowa,30,65
Kansas,-37,5
Kentucky,138,-7
Louisiana,50,-130
Maine,310,164
Maryland,255,30
Massachusetts,290,103
Michigan,132,95
Minnesota,13,150
Mississippi,70,-112
Missouri,40,6
Montana,-160,150
Nebraska,-50,50
Nevada,-270,56
New Hampshire,295,122
New Jersey,280,65
New Mexico,-150,-53
New York,233,102
North Carolina,205,-25
North Dakota,-65,150
Ohio,170,48
Oklahoma,-25,-41
Oregon,-295,138
Pennsylvania,210,60
Rhode Island,310,94
South Carolina,210,-59
South Dakota,-64,105
Tennessee,121,-34
Texas,-48,-106
Utah,-195,34
Vermont,268,134
Virginia,224,2
Washington,-285,180
West Virginia,195,20
Wisconsin,58,113
Wyoming,-150,90
